GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb126920,Zinc ion binding,,,enzyme activator activity(GO:0008047);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),negative regulation of programmed cell death(GO:0043069),nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb430820,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]","PEROXISOMAL 2,4-DIENOYL-COA REDUCTASE [(3E)-ENOYL-COA-PRODUCING] (PTHR43296:SF2)",reductase(PC00198),"2,4-dienoyl-CoA reductase (NADPH) activity(GO:0008670);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(GO:0016628)",fatty acid metabolic process(GO:0006631);fatty acid catabolic process(GO:0009062),peroxisome(GO:0005777)
Zm00001eb199780,Zinc finger protein WIP2,OS08G0504000 PROTEIN (PTHR45878:SF30),,DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355);regulation of gene expression(GO:0010468),nucleus(GO:0005634)
Zm00001eb034780,Protein kinase,OS08G0504800 PROTEIN (PTHR45637:SF51),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,nucleus(GO:0005634);cytoplasm(GO:0005737);plasma membrane(GO:0005886)
Zm00001eb136450,RING-type E3 ubiquitin transferase,E3 UBIQUITIN-PROTEIN LIGASE SPL11 (PTHR23315:SF236),ubiquitin-protein ligase(PC00234),,,
Zm00001eb219580,Glutamate formiminotransferase 1,"PUTATIVE, EXPRESSED-RELATED (PTHR12234:SF5)",,folic acid binding(GO:0005542);transferase activity(GO:0016740),,
Zm00001eb425570,RBR-type E3 ubiquitin transferase,E3 UBIQUITIN-PROTEIN LIGASE ARIH1 (PTHR11685:SF212),ubiquitin-protein ligase(PC00234),ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);transferase activity(GO:0016740);ligase activity(GO:0016874);ubiquitin conjugating enzyme binding(GO:0031624);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),ubiquitin-dependent protein catabolic process(GO:0006511);protein ubiquitination(GO:0016567),ubiquitin ligase complex(GO:0000151);cytoplasm(GO:0005737)
Zm00001eb426070,Polyadenylate-binding protein,POLYADENYLATE-BINDING PROTEIN (PTHR24012:SF879),RNA metabolism protein(PC00031),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA 3'-UTR binding(GO:0003730);poly(A) binding(GO:0008143);poly(U) RNA binding(GO:0008266),regulation of translation(GO:0006417),nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829);ribonucleoprotein complex(GO:1990904)
Zm00001eb057200,Protein NAR1,CYTOSOLIC FE-S CLUSTER ASSEMBLY FACTOR CG17683-RELATED (PTHR11615:SF258),dehydrogenase(PC00092),,,
Zm00001eb256890,Protein FIP1,TRANSMEMBRANE PROTEIN 192 (PTHR31592:SF1),,,,lysosomal membrane(GO:0005765);late endosome(GO:0005770);membrane(GO:0016020)
Zm00001eb369830,NADH:ubiquinone reductase (non-electrogenic),NADH:UBIQUINONE REDUCTASE (NON-ELECTROGENIC) (PTHR43706:SF23),oxidoreductase(PC00176),NADH dehydrogenase activity(GO:0003954);calcium ion binding(GO:0005509);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);NADH dehydrogenase (quinone) (non-electrogenic) activity(GO:0050136),,mitochondrion(GO:0005739);mitochondrial inner membrane(GO:0005743);peroxisome(GO:0005777)
Zm00001eb190930,RING_U-box superfamily protein,RING_U-BOX SUPERFAMILY PROTEIN (PTHR46519:SF2),,zinc ion binding(GO:0008270),,
Zm00001eb210480,Acyl carrier protein 3,ACYL CARRIER PROTEIN (PTHR46153:SF16),transfer/carrier protein(PC00219),acyl carrier activity(GO:0000036),fatty acid biosynthetic process(GO:0006633),
Zm00001eb062570,Zinc finger protein ZAT11,ZINC FINGER PROTEIN ZAT11 (PTHR26374:SF457),,zinc ion binding(GO:0008270);metal ion binding(GO:0046872),,nucleus(GO:0005634)
Zm00001eb407890,Putative DUF869 domain containing family protein,OS12G0169100 PROTEIN (PTHR31580:SF44),,,,
Zm00001eb040900,GDU1,PROTEIN GLUTAMINE DUMPER 2 (PTHR33228:SF77),,,amino acid transport(GO:0006865);regulation of amino acid export(GO:0080143),membrane(GO:0016020)
Zm00001eb213050,Uncharacterized protein,,,,,
Zm00001eb347570,Triose phosphate_phosphate translocator,"TRIOSE PHOSPHATE_PHOSPHATE TRANSLOCATOR TPT, CHLOROPLASTIC (PTHR11132:SF269)",secondary carrier transporter(PC00258),antiporter activity(GO:0015297);organophosphate ester transmembrane transporter activity(GO:0015605);transmembrane transporter activity(GO:0022857);carboxylic acid transmembrane transporter activity(GO:0046943),monocarboxylic acid transport(GO:0015718);organophosphate ester transport(GO:0015748);transmembrane transport(GO:0055085);carboxylic acid transmembrane transport(GO:1905039),Golgi apparatus(GO:0005794);membrane(GO:0016020);chloroplast membrane(GO:0031969)
Zm00001eb028440,Cytochrome c oxidase subunit 5C,CYTOCHROME C OXIDASE SUBUNIT 5C-2-RELATED (PTHR34372:SF2),oxidase(PC00175),,,mitochondrial inner membrane(GO:0005743)
Zm00001eb173410,Glyceraldehyde-3-phosphate dehydrogenase,"GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE 1, CYTOSOLIC (PTHR10836:SF133)",dehydrogenase(PC00092),,,
Zm00001eb232020,Protein arginine N-methyltransferase,PROTEIN ARGININE N-METHYLTRANSFERASE 5 (PTHR10738:SF0),protein modifying enzyme(PC00260),methyltransferase activity(GO:0008168);protein methyltransferase activity(GO:0008276);protein-arginine N-methyltransferase activity(GO:0016274);transferase activity(GO:0016740);protein-arginine omega-N symmetric methyltransferase activity(GO:0035243),regulation of DNA-templated transcription(GO:0006355);methylation(GO:0032259),nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb396340,Multidrug resistance protein ABC transporter family protein,AGAA.5 (PTHR33052:SF101),,,,
Zm00001eb255600,peptidylprolyl isomerase,FK506-BINDING PROTEIN 59-RELATED (PTHR10516:SF443),chaperone(PC00072),peptidyl-prolyl cis-trans isomerase activity(GO:0003755);isomerase activity(GO:0016853),protein folding(GO:0006457),cytoplasm(GO:0005737)
Zm00001eb288410,Bidirectional sugar transporter SWEET,BIDIRECTIONAL SUGAR TRANSPORTER SWEET1 (PTHR10791:SF44),,protein homodimerization activity(GO:0042803);sugar transmembrane transporter activity(GO:0051119),carbohydrate transport(GO:0008643);carbohydrate transmembrane transport(GO:0034219),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb064860,Heat stress transcription factor A-1a,HEAT SHOCK FACTOR PROTEIN (PTHR10015:SF427),winged helix/forkhead transcription factor(PC00246),RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355);cellular response to heat(GO:0034605),nucleus(GO:0005634)
Zm00001eb218880,Putative WRKY transcription factor 74,WRKY TRANSCRIPTION FACTOR 39-RELATED (PTHR31282:SF80),DNA-binding transcription factor(PC00218),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb124690,Proline-rich family protein,OS01G0141900 PROTEIN (PTHR31949:SF20),,,,cortical microtubule(GO:0055028)
Zm00001eb344490,ATP binding protein,SERINE_THREONINE-PROTEIN KINASE HT1-LIKE (PTHR23257:SF788),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),temperature homeostasis(GO:0001659);signal transduction(GO:0007165);response to blue light(GO:0009637);response to red light(GO:0010114);cellular response to carbon dioxide(GO:0071244);regulation of stomatal opening(GO:1902456),cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb176880,AUGMIN subunit 8,AUGMIN SUBUNIT 8 (PTHR31807:SF35),,microtubule binding(GO:0008017),spindle assembly(GO:0051225),cytoplasm(GO:0005737);nuclear microtubule(GO:0005880)
Zm00001eb378900,Uncharacterized protein,"PROTEIN, PUTATIVE (DUF1218)-RELATED (PTHR31769:SF59)",,,,endomembrane system(GO:0012505)
Zm00001eb283560,Auxin-responsive protein,AUXIN-RESPONSIVE PROTEIN IAA16 (PTHR31734:SF33),,,regulation of DNA-templated transcription(GO:0006355);response to auxin(GO:0009733);auxin-activated signaling pathway(GO:0009734),nucleus(GO:0005634)
Zm00001eb258220,Auxin-responsive protein,AUXIN-RESPONSIVE PROTEIN IAA9 (PTHR31734:SF88),,,regulation of DNA-templated transcription(GO:0006355);response to auxin(GO:0009733);auxin-activated signaling pathway(GO:0009734),nucleus(GO:0005634)
Zm00001eb397710,Oxysterol-binding protein-related protein 3B,OXYSTEROL-BINDING PROTEIN 8 (PTHR10972:SF136),transfer/carrier protein(PC00219),lipid binding(GO:0008289);sterol binding(GO:0032934),lipid transport(GO:0006869),cytosol(GO:0005829);membrane(GO:0016020)
Zm00001eb120220,Transmembrane protein,ALKALINE CERAMIDASE TOD1 (PTHR12956:SF13),,,,
Zm00001eb194110,Methyltransferase,PECTIN METHYLTRANSFERASE QUA2-RELATED (PTHR10108:SF899),methyltransferase(PC00155),methyltransferase activity(GO:0008168);transferase activity(GO:0016740),methylation(GO:0032259),cytoplasm(GO:0005737);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb219270,UDP-arabinopyranose mutase,UDP-ARABINOPYRANOSE MUTASE 1 (PTHR31682:SF46),mutase(PC00160),isomerase activity(GO:0016853);intramolecular transferase activity(GO:0016866);UDP-arabinopyranose mutase activity(GO:0052691),UDP-L-arabinose metabolic process(GO:0033356);cell wall organization(GO:0071555);plant-type cell wall organization or biogenesis(GO:0071669),Golgi apparatus(GO:0005794);cytosol(GO:0005829)
Zm00001eb420920,Exocyst subunit Exo70 family protein,EXOCYST SUBUNIT EXO70 FAMILY PROTEIN (PTHR12542:SF142),membrane traffic protein(PC00150),"phosphatidylinositol-4,5-bisphosphate binding(GO:0005546)",exocytosis(GO:0006887);protein transport(GO:0015031),exocyst(GO:0000145)
Zm00001eb104050,DUF674 family protein,OS09G0544700 PROTEIN (PTHR33103:SF19),,,,
Zm00001eb145400,Protein root UVB sensitive 6,OS01G0886900 PROTEIN (PTHR12770:SF26),,,,
Zm00001eb371770,Alpha-mannosidase,LYSOSOMAL ALPHA-MANNOSIDASE (PTHR11607:SF3),glycosidase(PC00110),"catalytic activity(GO:0003824);alpha-mannosidase activity(GO:0004559);mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity(GO:0004572);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);carbohydrate binding(GO:0030246);metal ion binding(GO:0046872)",carbohydrate metabolic process(GO:0005975);mannose metabolic process(GO:0006013);protein N-linked glycosylation(GO:0006487);N-glycan processing(GO:0006491),Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb425600,Endochitinase B,ENDOCHITINASE A (PTHR22595:SF187),,"chitinase activity(GO:0004568);chitin binding(GO:0008061);endochitinase activity(GO:0008843);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);chitin catabolic process(GO:0006032);defense response(GO:0006952);cell wall macromolecule catabolic process(GO:0016998),extracellular region(GO:0005576)
Zm00001eb402930,Xyloglucan galactosyltransferase MUR3,XYLOGLUCAN GALACTOSYLTRANSFERASE MUR3 (PTHR11062:SF56),glycosyltransferase(PC00111),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),,Golgi membrane(GO:0000139)
Zm00001eb129370,Uncharacterized protein,OSJNBA0004B13.7 PROTEIN (PTHR33604:SF3),,,,
Zm00001eb296120,Aspartic proteinase A1,ASPARTIC PROTEINASE A1 (PTHR47966:SF76),aspartic protease(PC00053),aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508);lipid metabolic process(GO:0006629),vacuole(GO:0005773)
Zm00001eb356330,Ribosomal RNA processing Brix domain protein,RIBOSOME PRODUCTION FACTOR 1 (PTHR22734:SF3),RNA splicing factor(PC00148),rRNA binding(GO:0019843);rRNA primary transcript binding(GO:0042134),maturation of 5.8S rRNA(GO:0000460);maturation of LSU-rRNA(GO:0000470);rRNA processing(GO:0006364),"nucleolus(GO:0005730);preribosome, large subunit precursor(GO:0030687)"
Zm00001eb043380,Mitochondrial import inner membrane translocase subunit TIM23-3,MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM23-3 (PTHR15371:SF40),amino acid transporter(PC00046),protein transmembrane transporter activity(GO:0008320);transmembrane transporter activity(GO:0022857),protein import into mitochondrial matrix(GO:0030150),TIM23 mitochondrial import inner membrane translocase complex(GO:0005744);membrane(GO:0016020)
Zm00001eb213150,Putative zinc metalloprotease EGY1 chloroplastic,"ZINC METALLOPROTEASE EGY1, CHLOROPLASTIC-RELATED (PTHR31412:SF0)",metalloprotease(PC00153),metalloendopeptidase activity(GO:0004222);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787),proteolysis(GO:0006508),chloroplast(GO:0009507);chloroplast membrane(GO:0031969)
Zm00001eb290490,Uncharacterized protein,OS05G0476000 PROTEIN (PTHR33257:SF61),,,,
Zm00001eb304990,RING-type domain-containing protein,OS07G0275300 PROTEIN (PTHR15315:SF115),,,,
Zm00001eb099390,Transcription factor AIG1,OS09G0410700 PROTEIN (PTHR45844:SF4),basic helix-loop-helix transcription factor(PC00055),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983),regulation of DNA-templated transcription(GO:0006355),
Zm00001eb242740,Alpha_beta-Hydrolases superfamily protein,OS02G0532300 PROTEIN (PTHR45763:SF62),hydrolase(PC00121),hydrolase activity(GO:0016787),,
Zm00001eb217550,Transmembrane protein,TRANSMEMBRANE PROTEIN (PTHR34775:SF4),,,,
Zm00001eb284700,non-specific serine_threonine protein kinase,PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK1-RELATED (PTHR47982:SF35),transmembrane signal receptor(PC00197),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,plasma membrane(GO:0005886)
Zm00001eb176900,Calcineurin subunit B,OS08G0442300 PROTEIN (PTHR46971:SF4),phosphatase modulator(PC00184),calcium ion binding(GO:0005509),,
Zm00001eb278600,G protein-coupled receptor,TRANSMEMBRANE PROTEIN 116 (PTHR23112:SF0),G-protein coupled receptor(PC00021),transmembrane signaling receptor activity(GO:0004888);G protein-coupled receptor activity(GO:0004930),mitotic cell cycle(GO:0000278);L-tyrosine biosynthetic process(GO:0006571);signal transduction(GO:0007165);cell surface receptor signaling pathway(GO:0007166);G protein-coupled receptor signaling pathway(GO:0007186);adenylate cyclase-activating G protein-coupled receptor signaling pathway(GO:0007189);L-phenylalanine biosynthetic process(GO:0009094);response to cytokinin(GO:0009735);abscisic acid-activated signaling pathway(GO:0009738);brassinosteroid mediated signaling pathway(GO:0009742);blue light signaling pathway(GO:0009785);negative regulation of abscisic acid-activated signaling pathway(GO:0009788);flower development(GO:0009908);positive regulation of gibberellic acid mediated signaling pathway(GO:0009939);maintenance of seed dormancy(GO:0010231);response to low fluence blue light stimulus by blue low-fluence system(GO:0010244),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb207580,CRIB domain-containing protein,OS06G0681300 PROTEIN (PTHR47846:SF1),,,,
Zm00001eb146850,UDP-rhamnose:rhamnosyltransferase 1,UDP-RHAMNOSE:RHAMNOSYLTRANSFERASE 1 (PTHR48045:SF20),glycosyltransferase(PC00111),UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251),,
Zm00001eb069000,shikimate kinase,"SHIKIMATE KINASE 3, CHLOROPLASTIC (PTHR21087:SF26)",kinase(PC00137),nucleotide binding(GO:0000166);shikimate kinase activity(GO:0004765);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872),amino acid biosynthetic process(GO:0008652);aromatic amino acid family biosynthetic process(GO:0009073);chorismate biosynthetic process(GO:0009423);shikimate metabolic process(GO:0019632),chloroplast(GO:0009507);plastid(GO:0009536)
Zm00001eb247190,polyribonucleotide nucleotidyltransferase,"POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE 2, MITOCHONDRIAL (PTHR11252:SF16)",nucleotidyltransferase(PC00174),3'-5'-RNA exonuclease activity(GO:0000175);nucleic acid binding(GO:0003676);RNA binding(GO:0003723);nuclease activity(GO:0004518);exonuclease activity(GO:0004527);polyribonucleotide nucleotidyltransferase activity(GO:0004654);transferase activity(GO:0016740);nucleotidyltransferase activity(GO:0016779),mitochondrial mRNA catabolic process(GO:0000958);mitochondrial RNA 3'-end processing(GO:0000965);rRNA processing(GO:0006364);RNA processing(GO:0006396);mRNA catabolic process(GO:0006402);tRNA processing(GO:0008033),mitochondrion(GO:0005739);cytosol(GO:0005829)
Zm00001eb431990,Bifunctional inhibitor_lipid-transfer protein_seed storage 2S albumin superfamily protein,OS04G0644400 PROTEIN (PTHR31731:SF20),,,,
Zm00001eb287450,Uncharacterized protein,OS05G0397300 PROTEIN (PTHR34956:SF2),,,,
Zm00001eb365030,Sas10_Utp3_C1D family,NEUROGUIDIN (PTHR13237:SF9),RNA metabolism protein(PC00031),,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000462)",nucleus(GO:0005634);nucleolus(GO:0005730);small-subunit processome(GO:0032040)
Zm00001eb207090,Copper-transporting ATPase RAN1,P-TYPE CU(+) TRANSPORTER (PTHR43520:SF8),primary active transporter(PC00068),nucleotide binding(GO:0000166);copper ion binding(GO:0005507);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled monoatomic cation transmembrane transporter activity(GO:0019829);P-type divalent copper transporter activity(GO:0043682);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);monoatomic cation transport(GO:0006812);copper ion transmembrane transport(GO:0035434);copper ion homeostasis(GO:0055070);monoatomic cation transmembrane transport(GO:0098655),membrane(GO:0016020)
